material_name,material_category,manufacturer_name,gwp_value,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,country_of_origin,source_filename,extraction_confidence,notes
Moisture Resistant Board,Other,Saint-Gobain India Pvt. Ltd,4.64,kg CO2 eq.,"1 m2 of installed plasterboard 12,5 mm with a weight of 8.52 kg/m2 and an expected average service life of 50 years",A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0009821_001.pdf,HIGH,"The GWP value is taken from the 'Climate Change [kg CO2 eq.]' row under the 'Product stage, A1-A3' column."
Gyproc® Fire-Resistant & Moisture Resistant Board,Other,Saint-Gobain India Pvt. Ltd.,7.18,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0009823_001.pdf,HIGH,GWP value represents Climate Change - total for A1-A3. Declared unit is 1 m2 of installed board.
Smart Ducting System,Insulation,Asawa Insulation Pvt. Ltd.,11.2,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0010024_002.pdf,HIGH,GWP value represents GWP-total for 20mm thickness. Declared unit is 1 m2.
VDS Curtain Wall Partition,Steel & Metal,Saint-Gobain India PVT Ltd. – Vetrotech Business,9.64,kg CO2 eq/m,1 m,A1-A3,The International EPD System,2024,2029,India,EPD-IES-0011999_001.pdf,HIGH,GWP value represents Climate Change [kg CO2 eq.] for A1-A3. Declared unit is 1 m of installed partition.
Average Black/Bare Steel Pipe,Steel & Metal,Surya Roshni Limited,3070.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2024,India,EPD-IES-0012001_001.pdf,HIGH,GWP value extracted from Table 14 (Climate Change - total) for A1-A3. The value 3.07E+03 corresponds to 3070 kg CO2 eq per 1 tonne.
Average Red oxide/3LPE/Epoxy coated Steel Pipes,Steel & Metal,Surya Roshni Limited,2900.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2024,India,EPD-IES-0012003_001.pdf,HIGH,"GWP value extracted from Table 14, row 'Climate Change - total' for A1-A3 column (2.90E+03)."
Average Cold Rolled/Pre-Galvanized Steel Pipes,Steel & Metal,Surya Roshni Limited,2580,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2024,India,EPD-IES-0012004_001.pdf,HIGH,GWP value 2.58E+03 converted to 2580. Declared unit is 1 tonne.
Cold Rolled Steel Strips,Steel & Metal,Surya Roshni Limited,3500.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2024,India,EPD-IES-0012005_001.pdf,HIGH,"GWP value extracted from Table 14, row 'Climate Change - total' for A1-A3. Value 3.50E+03 converted to 3500.0."
Steel Door Frames,Steel & Metal,Surya Roshni Limited,2670.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2023,2024,India,EPD-IES-0012006_001.pdf,HIGH,GWP value 2.67E+03 converted to 2670.0. Declared unit is 1 tonne.
Steel Hot Rolled Coils,Steel & Metal,ArcelorMittal Nippon Steel India Limited,2580.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012007_001.pdf,HIGH,GWP value 2.58E+03 converted to 2580.0 for 1 tonne.
Average Hot Rolled Pickled and Oiled (HRPO) Steel,Steel & Metal,ArcelorMittal Nippon Steel India Limited,2680.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012008_001.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column. 2.68E+03 converted to 2680.0.
Average Cold Rolled Closed Annealed / Cold Rolled Full Hard Steel,Steel & Metal,ArcelorMittal Nippon Steel India Limited,2790.0,kg CO2 eq./tonne,1 Tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012009_001.pdf,HIGH,GWP value 2.79E+03 converted from 1 Tonne to 1000 kg basis. 2.79E+03 = 2790.0 kg CO2 eq. per tonne.
Steel Plates,Steel & Metal,ArcelorMittal Nippon Steel India Limited,3010.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012010_001.pdf,HIGH,GWP value 3.01E+03 converted to 3010.0 for 1 tonne.
Average Galvanized Iron / Pre-Painted Galvanized Iron,Steel & Metal,ArcelorMittal Nippon Steel India Limited,3020.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012011_001.pdf,HIGH,GWP value 3.02E+03 converted from 1 tonne to 1000 kg unit. 3.02E+03 = 3020.
Steel Pipes,Steel & Metal,ArcelorMittal Nippon Steel India Limited,3210.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012012_001.pdf,HIGH,GWP value 3.21E+03 converted from 1 tonne to 1000 kg basis.
Ductile Iron Pipe,Steel & Metal,Jindal Saw Limited,2460.0,kg CO2 eq/1000 kg,1000 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012013_005.pdf,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 (2.46E+03 = 2460.0). Declared unit is 1000 kg.
SAWH Coated Steel Pipe,Steel & Metal,Jindal SAW Limited,1787.33,kg CO2 eq/1000 kg,1000 kg,A1-A3,EPD International AB,2024,2029,India,EPD-IES-0012014_003.pdf,HIGH,GWP value extracted from the A1-A3 column for GWP-fossil as per standard practice for construction products.
