registration_number,material_name,material_category,manufacturer_name,product_category,geographical_scope,country_of_origin,gwp_a1a3,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,epd_url,gwp_value,extraction_confidence,notes
EPD-IES-0025023:003,JK Tyre- 235/75R17.5 JUH5 ALL STEEL 14PR,Other,JK Tyre Limited,"Metal, mineral, plastic & glass products",Global,India,0.973,kg CO2 eq/FU,"1 Tyre driven 1,000km",A1-A3,International EPD System,,,https://www.environdec.com/library/epd25023,0.973,HIGH,"The GWP value for A1-A3 is calculated as the sum of A1 (0.586), A2 (0.0609), and A3 (0.326) = 0.9729 kg CO2 eq per functional unit."
EPD-IES-0031496:002,Healthcare Beds,Other,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,1070,kg CO2 eq/piece,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31496,1070,HIGH,GWP-total value for A1-A3 is 1.07E+03 kg CO2 eq. The declared unit is 1 piece of Healthcare Bed.
EPD-IES-0031358:002,Seating (Chairs),Other,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,124.0,kg CO2 eq,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31358,124.0,HIGH,GWP value represents GWP-total for A1-A3. The value 1.24E+02 was converted to 124.0.
EPD-IES-0031377:001,Flexivate- Height Adjustable Tables,Other,Talin Modular Office Furniture Systems Private Limited,Construction products,India,India,482.0,kg CO2 eq,1 height-adjustable table,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31377,482.0,HIGH,GWP-total value for A1-A3 is 4.82E+02. The declared unit is one height-adjustable table.
EPD-IES-0027273:002,L'LIOS 580-600 Wp N-Type Topcon 16BB Bifacial (Glass to Glass) Solar Photovoltaic Module,Other,Rayzon Solar Limited,Construction products,India,India,0.345,kg CO2 eq/Wp,1 Wp,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27273,0.345,HIGH,"The GWP value for A1-A3 is 0.345 kg CO2 eq/Wp, derived from the LCA results for the representative 600 Wp module."
EPD-IES-0031490:002,Storage,Steel & Metal,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,300.0,kg CO2 eq,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31490,300.0,HIGH,GWP-total value for A1-A3 is 3.00E+02 (300.0). The EPD covers multiple storage products with Modular KD Storages (Gain Pro) as the representative product.
EPD-IES-0025339:002,OPOS,Other,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,1390.0,kg CO2 eq/piece,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd25339,1390.0,HIGH,GWP-total value for A1-A3 is 1.39E+03 kg CO2 eq. The declared unit is 1 piece of OPOS.
EPD-IES-0031281:002,Desking,Other,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,Construction products,India,India,-13.3,kg CO2 eq,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31281,-13.3,HIGH,"The GWP-total value for A1-A3 is -1.33E+01, which equals -13.3 kg CO2 eq. The declared unit is 1 piece of desking."
EPD-IES-0031177:001,Steel Wire,Steel & Metal,Usha Martin Limited,Construction products,Global,India,2590.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31177,2590.0,HIGH,GWP value 2.59E+03 converted to 2590.0 per 1 tonne declared unit.
EPD-IES-0031180:001,Steel Rope,Steel & Metal,Usha Martin Limited,Construction products,Global,India,2930.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31180,2930.0,HIGH,GWP value 2.93E+03 converted to 2930.0 per 1 tonne.
EPD-IES-0012013:005,Ductile Iron Pipe,Steel & Metal,Jindal Saw Limited,Construction products,India,India,2460.0,kg CO2 eq/1000 kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd12013,2460.0,HIGH,GWP value extracted from the 'GWP-total' row for A1-A3 (2.46E+03 = 2460.0). Declared unit is 1000 kg.
EPD-IES-0031101:001,Acsilo Cellulose Fiber Acoustic Spray,Insulation,Tranquil,Construction products,India,India,0.352,kg CO2 eq/kg,1 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31101,0.352,HIGH,GWP value extracted from Table 6 (Climate change – total) for A1-A3. Value 3.52E-01 converted to 0.352.
EPD-IES-0031137:001,Mass Loaded Vinyl (MLV),Plastic & Polymer,Tranquil,Construction products,India,India,8.35,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31137,8.35,HIGH,GWP value extracted from Table 6 for Climate change - total in A1-A3.
EPD-IES-0031140:004,ELARA Fibreglass Panel,Insulation,Tranquil,Construction products,India,India,6.84,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31140,6.84,HIGH,The declared unit is 1 m2. The GWP value is taken from the Climate change - total row for A1-A3.
EPD-IES-0031141:001,ECOCORE PET Panel,Plastic & Polymer,Tranquil,Construction products,India,India,7.23,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31141,7.23,HIGH,"GWP value taken from Table 6, Climate change - total, A1-A3 column."
EPD-IES-0031145:001,Wooden Acoustic Panels - Woodline & Ecowood,Timber & Wood,Tranquil,Construction products,India,India,6.39,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31145,6.39,HIGH,GWP value extracted from Table 7 (GWP-GHG indicator) for A1-A3.
EPD-IES-0031097:002,Magnelis (Metallic Coated Sheet),Steel & Metal,ArcelorMittal Nippon Steel India Private Limited (AM/NS India),Construction products,Global,India,2460.0,kg CO2 eq/1000kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31097,2460.0,HIGH,GWP value extracted from Table 4 for A1-A3 (2.46E+03). The declared unit is 1000kg.
EPD-IES-0029223:002,Optigal (Metallic colour coated steel),Steel & Metal,ArcelorMittal Nippon Steel India Private Limited (AM/NS India),Construction products,Global,India,2110.0,kg CO2 eq/1000kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd29223,2110.0,HIGH,The GWP value for A1-A3 is 2.11E+03 kg CO2 eq per 1000kg as per Table 4.
EPD-IES-0031048:001,Ordinary Portland Cement,Concrete & Cement,Ambuja Cements Limited,Construction products,India,India,1010.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31048,1010.0,HIGH,GWP-total value 1.01E+03 kg CO2 eq. per 1 tonne converted to 1010.0.
EPD-IES-0031051:001,Ordinary Portland Cement,Concrete & Cement,ACC Limited,Construction products,India,India,983.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd31051,983.0,HIGH,GWP value 9.83E+02 converted to 983.0. Declared unit is 1 tonne.
EPD-IES-0030221:002,WOOD WOOL BOARD - NISHABD STRAND,Other,Mechtrix Engineers LLP,Construction products,India,India,12.2,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd30221,12.2,HIGH,The GWP value represents the worst-case product (T25) as specified in the EPD. The declared unit is 1 m2.
EPD-IES-0029315:002,6HI Cold Rolling Mill 1250MM@1100MPM,Equipment,Yogi Ji Digi Private Limited,Machinery & equipment,Global,India,312000000.0,kg CO2 eq,1 unit,A1-C4,International EPD System,,,https://www.environdec.com/library/epd29315,312000000.0,HIGH,"Equipment EPD — not a construction material. GWP is for entire unit, not per kg or m2."
EPD-IES-0028927:001,Powder Coated Aluminium Extruded Profiles,Aluminium,Bhoruka Extrusions Private Limited,Construction products,Global,India,17400.0,kg CO2 eq/t,1 t,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28927,17400.0,HIGH,GWP value 1.74E+04 kg CO2 eq per 1 Tonne converted to 17400.0. Declared unit is 1 Tonne.
EPD-IES-0029293:001,Modular Chairs,Other,Featherlite Products Private Limited,Construction products,India,India,56.7,kg CO2 eq/piece,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd29293,56.7,HIGH,GWP value extracted from the Climate change row for A1-A3. The value 5.67E+01 is equivalent to 56.7.
EPD-IES-0005172:001,Steel Hot Rolled Coil,Steel & Metal,JSW Steel Limited,Construction products,Global,India,2690.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd5172,2690.0,HIGH,GWP value 2.69E+03 converted from 1 tonne declared unit.
EPD-IES-0025435:001,Cold Rolled Closed Annealed Coil,Steel & Metal,JSW Steel Limited,Construction products,Global,India,3020.0,kg CO2 eq./tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd25435,3020.0,HIGH,GWP value 3.02E+03 converted from kg CO2 eq./tonne to 3020.0.
EPD-IES-0020876:002,"Ductile Iron Pipes of C30 Pressure Class, including Ductile Iron Fittings",Steel & Metal,Electrosteel Castings Limited,Construction products,India,India,2530.0,kg CO2 eq./tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd20876,2530.0,HIGH,GWP value 2.53E+03 converted from 1 tonne declared unit.
EPD-IES-0020877:002,"Ductile Iron Pipes of C40 Pressure Class, including Ductile Iron Fittings",Steel & Metal,Electrosteel Castings Limited,Construction products,India,India,2530.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd20877,2530.0,HIGH,GWP value converted from 2.53E+03 kg CO2 eq. per 1 tonne.
EPD-IES-0020878:002,"Ductile Iron Pipes of C25 Pressure Class, including Ductile Iron Fittings",Steel & Metal,Electrosteel Castings Limited,Construction products,India,India,2530,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd20878,2530,HIGH,GWP value 2.53E+03 converted to 2530. Declared unit is 1 tonne.
EPD-IES-0028871:001,Tapi Trans Dual Series: M10R,Other,Solex Energy Limited,Construction products,Global,India,0.417,kg CO2 eq/Wp,1 Wp,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28871,0.417,HIGH,The declared unit is 1 Wp. The GWP value for A1-A3 is 4.17E-01 kg CO2 eq/Wp.
EPD-IES-0028872:001,Tapi-R Series: G12R,Other,Solex Energy Limited,Construction products,Global,India,0.416,kg CO2 eq/Wp,1 Wp,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28872,0.416,HIGH,The declared unit is 1 Wp. The GWP-total value for A1-A3 is 4.16E-01 kg CO2 eq/Wp.
EPD-IES-0028287:001,"Aluminium Billet ""Continuum""",Aluminium,CMR NLM ECO ALUMINIUM PRIVATE LIMITED,Construction products,Global,India,1490.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28287,1490.0,HIGH,GWP value 1.49E+03 converted from 1 tonne declared unit.
EPD-IES-0028470:006,75 KVA Oil filled Transformer 10395C,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,Machinery & equipment,Global,India,2235.0,kg CO2 eq,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28470,2235.0,HIGH,"GWP value calculated as sum of A1 (2.06E+03), A2 (7.14E+01), and A3 (1.15E+02)."
EPD-IES-0028471:005,150 KVA Oil filled Transformer 8175I,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,Machinery & equipment,Global,India,3312.0,kg CO2 eq,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28471,3312.0,HIGH,"GWP value for A1-A3 is the sum of 3.16E+03 (A1) + 1.94E+01 (A2) + 1.32E+02 (A3) = 3311.4, rounded to 3312.0."
EPD-IES-0028472:005,150 KVA Oil filled Transformer 10396E,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,Machinery & equipment,Global,India,4945.0,kg CO2 eq,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28472,4945.0,HIGH,"GWP value calculated as sum of A1 (4.31E+03), A2 (1.17E+02), and A3 (5.15E+02)."
EPD-IES-0028473:005,400 KVA Oil filled Transformer 08174E,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,Machinery & equipment,Global,India,8199.0,kg CO2 eq/product,1 product,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28473,8199.0,HIGH,"GWP value for A1-A3 calculated as sum of A1 (7.86E+03), A2 (9.80E+01), and A3 (2.41E+02)."
EPD-IES-0028474:005,500 KVA Oil filled Transformer 08178E,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,Machinery & equipment,Global,India,9147.0,kg CO2 eq,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28474,9147.0,HIGH,"GWP value calculated as sum of A1 (8780), A2 (128), and A3 (241) from the results table."
EPD-IES-0028934:003,400 KVA Oil filled Transformer 8493H,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,Machinery & equipment,Global,India,5808.0,kg CO2 eq,1 unit,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28934,5808.0,HIGH,"GWP value calculated as sum of A1 (5.44E+03), A2 (8.36E+01), and A3 (2.88E+02)."
EPD-IES-0015922:001,"Life Cycle Assessment of Minesform 8PVF, OceanMax 35, Powerfrom 8P",Steel & Metal,Usha Martin Limited,Construction products,India,India,3750.0,kg CO2 eq/1 metric tonne,1 metric tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd15922,3750.0,HIGH,GWP value represents GWP-total for A1-A3. The value 3.75E+03 was converted to 3750.0.
EPD-IES-0028392:003,NTOPCON BIFACIAL G12R,Other,SAATVIK GREEN ENERGY LIMITED,Construction products,India,India,0.379,kg CO2 eq/Wp,1 Wp,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28392,0.379,HIGH,The GWP value is provided for 1 Wp of the product. The value 3.79E-01 corresponds to 0.379 kg CO2 eq.
EPD-IES-0014193:004,Conference Table,Other,Kokuyo Workplace India Limited,Construction products,Global,India,211.0,kg CO2 eq/piece,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd14193,211.0,HIGH,GWP-total value for A1-A3 is 2.11E+02 (211.0). Declared unit is 1 piece of Conference Table.
EPD-IES-0014194:002,Desking Products,Other,Kokuyo Workplace India Limited,Construction products,Global,India,655.0,kg CO2 eq/piece,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd14194,655.0,HIGH,GWP-fossil value used (6.55E+02). Representative product is Avail Bench.
EPD-IES-0014195:004,Avail Height Adjustable Desk,Other,Kokuyo Workplace India Limited,Construction products,Global,India,848.0,kg CO2 eq/piece,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd14195,848.0,HIGH,GWP-total value for A1-A3 is 8.48E+02 (848.0). Declared unit is 1 piece of Avail Height Adjustable Desk (4-person cluster).
EPD-IES-0015163:002,Storage Systems,Steel & Metal,Kokuyo Workplace India Limited,Construction products,Global,India,769.0,kg CO2 eq/m3,1 m3,A1-A3,International EPD System,,,https://www.environdec.com/library/epd15163,769.0,HIGH,GWP value represents GWP-total for A1-A3 as 7.69E+02.
EPD-IES-0015164:002,Chair,Other,Kokuyo Workplace India Limited,Construction products,Global,India,70.8,kg CO2 eq.,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd15164,70.8,HIGH,GWP-total value for A1-A3 used.
EPD-IES-0028653:001,Steel Flange,Steel & Metal,ECHJAY FORGINGS PVT. LTD.,Construction products,Global,India,5470.0,kg CO2 eq/1000 kg,1000 kg,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28653,5470.0,HIGH,GWP-total value for A1-A3 is 5.47E+03 kg CO2 eq per 1000 kg (1 MT).
EPD-IES-0028340:002,Pile Gripper,Steel & Metal,IRM Offshore and Marine Engineers Pvt Ltd,Construction products,Global,India,10600,kg CO2 eq,1 IRM Pile Gripper,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28340,10600,HIGH,GWP value 1.06E+04 converted to 10600. Declared unit is one unit of the product.
EPD-IES-0028618:001,Ikkita Chair-Alankaram,Other,Alankaram,Construction products,India,India,7.74,kg CO2 eq/piece,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28618,7.74,HIGH,GWP value represents GWP-total for A1-A3. The declared unit is 1 piece of Ikkita Chair.
EPD-IES-0028623:001,Mesa Dinning Table-Alankaram,Timber & Wood,Alankaram,Construction products,India,India,-72.3,kg CO2 eq/piece,1 piece,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28623,-72.3,HIGH,GWP-total value for A1-A3 is -7.23E+01. Declared unit is 1 piece of Mesa Dining Table.
EPD-IES-0028226:002,Penebiotech Green M+,Other,Penetron Products Private Limited,Chemical products,Global,India,0.000469,kg CO2 eq/g,1 g,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28226,0.000469,HIGH,GWP-GHG value from Table 7 used as it represents the total GWP impact for the declared unit.
EPD-IES-0028227:002,Penebiotech Trapbom,Other,Penetron Products Private Limited,Chemical products,Global,India,0.000397,kg CO2 eq/g,1 g,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28227,0.000397,HIGH,"The GWP-GHG value for A1-A3 is calculated as the sum of Upstream (1.61E-04) and Core (1.67E-04) modules, totaling 3.28E-04 kg CO2 eq/g. However, the table provides a TOTAL row for GWP-GHG as 3.97E-04 kg CO2 eq/g which includes Downstream. The value 3.97E-04 represents the full life cycle."
EPD-IES-0028228:002,Penebiotech WB Clean,Other,Penetron Products Private Limited,Chemical products,Global,India,0.000467,kg CO2 eq/g,1 g,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28228,0.000467,HIGH,GWP-GHG value from Table 7 used as it represents the total GWP-GHG impact for the declared unit of 1 gram.
EPD-IES-0027634:001,Unitized Curtain Wall U-8000,Aluminium,GLASS WALL SYSTEMS INDIA LIMITED,Construction products,Global,India,73.5,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27634,73.5,HIGH,GWP value taken from the Climate change row for A1-A3 (7.35E+01). The declared unit is 1m2.
EPD-IES-0028173:001,Punched Window – PW - 450,Aluminium,GLASS WALL SYSTEMS INDIA LIMITED,Construction products,Global,India,65.7,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28173,65.7,HIGH,GWP value represents Climate change (total) for A1-A3. Value 6.57E+01 converted to 65.7.
EPD-IES-0028218:001,Store Front SF-102,Aluminium,GLASS WALL SYSTEMS INDIA LIMITED,Construction products,Global,India,89.3,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28218,89.3,HIGH,GWP value 8.93E+01 converted to 89.3. Declared unit is 1m2.
EPD-IES-0028246:001,Window Wall WW-9500,Aluminium,Glass Wall Systems India Limited,Construction products,Global,India,91.1,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28246,91.1,HIGH,GWP value taken from Climate change indicator for A1-A3 (9.11E+01).
EPD-IES-0028248:001,Unitized Curtain Wall- U-140,Aluminium,Glass Wall Systems India Limited,Construction products,Global,India,72.7,kg CO2 eq/m2,1 m2,A1-A3,International EPD System,,,https://www.environdec.com/library/epd28248,72.7,HIGH,GWP value extracted from the Climate change row for A1-A3 (7.27E+01).
EPD-IES-0016475:003,ER 1711®,Other,SEPR India,"Metal, mineral, plastic & glass products",Global,India,3110.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd16475,3110.0,HIGH,"GWP value extracted from the A1-A3 column for Climate change potential (GWP) - total. 3,11E+03 converted to 3110.0."
EPD-IES-0027946:001,ER 1685,Other,SEPR India,"Metal, mineral, plastic & glass products",India,India,2150.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27946,2150.0,HIGH,"GWP value extracted from the Climate change potential (GWP) - total row for A1-A3. Value 2,15E+03 converted to 2150.0."
EPD-IES-0027947:001,ER 1699,Other,SEPR India,"Metal, mineral, plastic & glass products",India,India,2230.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27947,2230.0,HIGH,"GWP value extracted from the A1-A3 column for Climate change potential (GWP) - total. The value 2,23E+03 corresponds to 2230.0."
EPD-IES-0027949:001,Jargal®,Other,SEPR India,"Metal, mineral, plastic & glass products",India,India,5270.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27949,5270.0,HIGH,"GWP value extracted from 'Climate change potential (GWP) - total' for A1-A3. Value 5,27E+03 converted to 5270.0."
EPD-IES-0027945:001,ER 1681®,Other,SEPR India,"Metal, mineral, plastic & glass products",India,India,1890.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27945,1890.0,HIGH,"GWP value extracted from the Climate change potential (GWP) - total row for A1-A3, 1.89E+03 equals 1890.0."
EPD-IES-0027948:001,ER 1851®,Other,SEPR India,"Metal, mineral, plastic & glass products",India,India,4420.0,kg CO2 eq/tonne,1 tonne,A1-A3,International EPD System,,,https://www.environdec.com/library/epd27948,4420.0,HIGH,"GWP value extracted from the A1-A3 column for Climate change potential (GWP) - total. 4,42E+03 equals 4420.0."
